Code,Name,Country,Exchange,Currency,Type,Isin
0P0000V6X4,Vanguard Target Retire Trust Plus 2040,USA,NYSE,USD,FUND,
0P0001UM32,Life Cycle Global Select UCITS X USD Acc,USA,PINK,USD,FUND,
AAAB,Admiralty Bancorp Inc,USA,NASDAQ,USD,Common Stock,
AAADX,ALPINE RISING DIVIDEND FUND CLASS A,USA,NMFQS,USD,FUND,US0030224499
AAAEX,Virtus AllianzGI Health Sciences Fund Class P,USA,NMFQS,USD,FUND,
AAAFX,American Century One Choice Blend+ 2015 Portfolio Investor Class,USA,NMFQS,USD,FUND,
AAAGY,Altana Aktiengesellschaft,USA,NYSE,USD,Common Stock,
AAAHX,American Century One Choice Blend+ 2015 Portfolio I Class,USA,NMFQS,USD,FUND,
AAAID,AAAID,USA,PINK,USD,Common Stock,
AAAIF,Alternative Investment Trust,USA,PINK,USD,FUND,
AAAJX,American Century One Choice Blend+ 2015 Portfolio A Class,USA,NMFQS,USD,FUND,
AAAKX,American Century One Choice Blend+ 2015 Portfolio R Class,USA,NMFQS,USD,FUND,
AAALF,Aareal Bank AG,USA,PINK,USD,Common Stock,
AAALX,American Century One Choice Blend+ 2015 Portfolio R6 Class,USA,NMFQS,USD,FUND,
AAALY,Aareal Bank AG ADR,USA,PINK,USD,Common Stock,US00254K1088
AAAP,Advanced Accelerator Applications S.A,USA,NASDAQ,USD,Common Stock,US00790T1007
AAARF,Aluar Aluminio Argentino S.A.I.C,USA,OTCGREY,USD,Common Stock,
AAAWX,DEUTSCHE REAL ASSETS FUND CLASS T,USA,NMFQS,USD,FUND,US25159K6718
AAB,Astrazeneca Ab,USA,NYSE,USD,Common Stock,
AABA,Altaba Inc,USA,NASDAQ,USD,Common Stock,US0213461017
AABAX,ACTIVE CORE FUND CLASS A,USA,NMFQS,USD,FUND,US14956P6795
AABC,Access Anytime Bancorp Inc,USA,NASDAQ,USD,Common Stock,
AABDX,AMERICAN BEACON INTERMEDIATE BOND FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,
AABNF,ALTIN AG BAAR NAMEN,USA,PINK,USD,Common Stock,
AABNX,AMERICAN BEACON BALANCED FUND AMR CLASS,USA,NMFQS,USD,FUND,
AABSX,ALLIANZGI BEST STYLES EMERGING MARKETS EQUITY FUND CLASS A,USA,NMFQS,USD,FUND,
AABUX,ALLIANZGI BEST STYLES U.S. EQUITY FUND CLASS A,USA,NMFQS,USD,FUND,US01882F7502
AABYX,American Beacon AHL TargetRisk Core Fund Y Class,USA,NMFQS,USD,FUND,
AAC,Ares Acquisition Corporation,USA,NYSE,USD,Common Stock,KYG330321061
AAC_old1,Arcadia Financial Ltd,USA,NYSE,USD,Common Stock,
AAC_old2,AAC Holdings Inc,USA,NYSE,USD,Common Stock,US0003071083
AAC-U,AAC-U,USA,NYSE,USD,Common Stock,
AAC-UN,Ares Acquisition Corp,USA,NASDAQ,USD,Common Stock,KYG330321061
AAC-WT,Ares Acquisition Corporation Re,USA,NYSE,USD,Common Stock,
AACB_old,Alliance Atlantis Communications Inc,USA,NASDAQ,USD,Common Stock,
AACBU_old,Artius II Acquisition Inc. Units,USA,NASDAQ,USD,Common Stock,
AACBX,ACTIVE CORE FUND CLASS C,USA,NMFQS,USD,FUND,US14956P5391
AACC,Asset Acceptance Capital Corp,USA,NASDAQ,USD,Common Stock,
AACE,Ace Cash Express Inc,USA,NASDAQ,USD,Common Stock,
AACEX,MULTI CAP EQUITY INCOME FUND CLASS C,USA,NMFQS,USD,FUND,
AACEY,Asia Cement (China) Holdings Corporation,USA,PINK,USD,Common Stock,
AACFX,INVESCO GREATER CHINA FUND CLASS A,USA,NMFQS,USD,FUND,US00141T1557
AACH,AAC Holdings Inc,USA,PINK,USD,Common Stock,
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,KYG0R38G1040
AACI_old,Armada Acquisition Corp I,USA,NASDAQ,USD,Common Stock,US04208V1035
AACIU_old,AACIU,USA,NASDAQ,USD,Unit,US04208V2025
AACIW,Armada Acquisition Corp. II Warrant,USA,NASDAQ,USD,Common Stock,
AACIX,AMERICAN BEACON MID-CAP VALUE FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US02368A3150
AACOX,OPPORTUNISTIC FUND CLASS C,USA,NMFQS,USD,FUND,US14956P5136
AACPF,Australia Acquisition Corp (Foreign),USA,OTCBB,USD,Common Stock,
AACQ,Origin Materials Inc,USA,NASDAQ,USD,Common Stock,US68622D1063
AACQU,Origin Materials Inc,USA,NASDAQ,USD,Common Stock,KY04316G2048
AACQW,Artius Acquisition Inc,USA,NASDAQ,USD,Common Stock,KY04316G1131
AACT,Ares Acquisition Corporation II,USA,NYSE,USD,Common Stock,KYG330331201
AACT_old,AACT,USA,NYSE,USD,Common Stock,
AACT-UN,Ares Acquisition Corporation II,USA,NYSE,USD,Common Stock,KYG330331045
AACT-WT,Ares Acquisition Corporation II WT,USA,NYSE,USD,Common Stock,KYG330331201
AACYX,ALGER MID CAP FOCUS FUND ALGER MID CAP FOCUS FUND CLASS C,USA,NMFQS,USD,FUND,
AADDX,ALPINE RISING DIVIDEND FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,US0030224564
AADGX,AASGARD DIVIDEND GROWTH SMALL & MID-CAP FUND NO LOAD CLASS,USA,NMFQS,USD,FUND,US00770X4280
AADI,Aadi Bioscience Inc,USA,NASDAQ,USD,Common Stock,US00032Q1040
AADLS,AADLS,USA,OTCGREY,USD,Common Stock,
AAEBX,INVESCO GROWTH ALLOCATION FUND CLASS B,USA,NMFQS,USD,FUND,
AAECX,American Beacon AHL TargetRisk Core Fund C Class,USA,NMFQS,USD,FUND,
AAEED,Altair Resources Inc,USA,OTCMKTS,USD,Common Stock,
AAEEF,Altair Resources Inc,USA,PINK,USD,Common Stock,
AAEH,Core Lithium Corp,USA,PINK,USD,Common Stock,
AAEPX,AMERICAN BEACON EMERGING MARKETS FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,
AAEQX,MULTI CAP EQUITY INCOME FUND CLASS A,USA,NMFQS,USD,FUND,
AAFPX,AMERICAN BEACON S&P 500 INDEX FUND INVESTOR CLASS,USA,NMFQS,USD,FUND,
AAFXX,American Funds U.S. Government Money Market Fund Class 529-A,USA,NMFQS,USD,FUND,
AAGAX,AMERICAN BEACON LARGE CAP VALUE FUND AMR CLASS,USA,NMFQS,USD,FUND,
AAGEF,AAG Energy Holdings Limited,USA,PINK,USD,Common Stock,
AAGIY1,Anglo American Gold Investment Co Ltd,USA,NASDAQ,USD,Common Stock,
AAGRW,African Agriculture Holdings Inc,USA,NASDAQ,USD,Common Stock,
AAGRX,FORWARD AGGRESSIVE GROWTH ALLOCATION FUND INSTITUTIONAL CLASS,USA,NMFQS,USD,FUND,
AAGRY,Astra Agro Lestari TBK,USA,PINK,USD,Common Stock,US0463011074
AAHAX,American Beacon AHL TargetRisk Core Fund A Class,USA,NMFQS,USD,FUND,
AAI,AIRTRAN HOLDINGS INC,USA,NYSE,USD,Common Stock,US00949P1084
AAI_old,Aqua Alliance Inc,USA,NYSE MKT,USD,Common Stock,
AAIBX,MODERATE DURATION FUND CLASS A,USA,NMFQS,USD,FUND,US14956P6530
AAIC,Arlington Asset Investment Corp,USA,NYSE,USD,Common Stock,US0413562051
AAIC-P-B,AAIC-P-B,USA,NYSE,USD,Preferred Stock,
AAIC-P-C,AAIC-P-C,USA,NYSE,USD,Preferred Stock,
AAIC-PB,Arlington Asset Investment Corp,USA,NYSE,USD,Preferred Stock,
AAIC-PC,Arlington Asset Investment Corp,USA,NYSE,USD,Preferred Stock,
AAIFX,CROW POINT ALTERNATIVE INCOME FUND CROW POINT ALTERNATIVE INCOME FUND INVESTOR CLASS SHARES,USA,NMFQS,USD,FUND,US8855725524
AAII,Aaipharma Inc,USA,NASDAQ,USD,Common Stock,
AAIN,AAIN,USA,NYSE,USD,Common Stock,
AAINF,AsiaBaseMetals Inc,USA,OTCGREY,USD,Common Stock,
AAIR,Avantair Inc,USA,PINK,USD,Common Stock,US00949P1084
AAIRD,American Aires Inc.,USA,PINK,USD,Common Stock,
AAIT,iShares MSCI All Country Asia Info Tech,USA,NASDAQ,USD,ETF,
AAK,AAK,USA,NYSE,USD,Common Stock,
AALVX,THRIVENT PARTNER SMALL CAP VALUE FUND CLASS A,USA,NMFQS,USD,FUND,
AAM_old,AA Mission Acquisition Corp.,USA,NYSE,USD,Common Stock,
AAM-P-A,AAM-P-A,USA,NYSE,USD,Preferred Stock,
AAM-P-B,AAM-P-B,USA,NYSE,USD,Preferred Stock,
AAM-PA,Apollo Global Management Inc.,USA,NYSE,USD,Preferred Stock,
AAM-PB,Apollo Global Management Inc.,USA,NYSE,USD,Preferred Stock,
AAM-UN,AA Mission Acquisition Corp.,USA,NYSE,USD,Common Stock,
AAM-WT,AA Mission Acquisition Corp. WT,USA,NYSE,USD,Common Stock,
AAMAF,Atlas Mara Limited,USA,PINK,USD,Common Stock,
AAMBDX,Advisors Dis Tr 433 Build America Bond Ptf Srs 4,USA,NMFQS,USD,FUND,
AAMBEX,Advisors Dis Tr 448 Build America Bond Ptf Series 5,USA,NMFQS,USD,FUND,
AAMBSX,AAMBSX,USA,NMFQS,USD,Mutual Fund,
AAMC,Altisource Asset Management Corp,USA,NYSE MKT,USD,Common Stock,VI02153X1080
AAMEFX,AAMEFX,USA,NMFQS,USD,Mutual Fund,
AAMEJX,Advisors Dis Tr 408 Insured Tax Exempt Municipal Ptf Long Term Srs 7,USA,NMFQS,USD,FUND,
AAMENX,AAMENX,USA,NMFQS,USD,FUND,
AAMEOX,AAMEOX,USA,NMFQS,USD,FUND,
AAMLTX,AAMLTX,USA,NMFQS,USD,FUND,
AAMLUX,AAMLUX,USA,NMFQS,USD,FUND,
AAMLVX,AAMLVX,USA,NMFQS,USD,FUND,
AAMLWX,AAMLWX,USA,NMFQS,USD,FUND,
AAMLYX,AAMLYX,USA,NMFQS,USD,FUND,
AAMLZX,AAMLZX,USA,NMFQS,USD,FUND,
AAMOX,ALGER SMID CAP FOCUS PORTFOLIO ALGER SMID CAP FOCUS PORTFOLIO CLASS I-2,USA,NMFQS,USD,FUND,US0155448287
AAMPX,ALLIANZGI MICRO CAP FUND CLASS P,USA,NMFQS,USD,FUND,US01900C1852
AAMQHX,AAMQHX,USA,NMFQS,USD,FUND,
AAMQIX,AAMQIX,USA,NMFQS,USD,FUND,
AAMRX,AMERICAN BEACON EMERGING MARKETS FUND AMR CLASS,USA,NMFQS,USD,FUND,
AAMUBX,AAMUBX,USA,NMFQS,USD,Mutual Fund,
AAMUDX,AAMUDX,USA,NMFQS,USD,Mutual Fund,
